"PID","Relationship_Type","Relationship","Orientation","Emotion","Valence","Type","Frequency","Connection","Sex","Age","Language","Ethnicity.simplified","Nationality","Country.of.residence","Country.of.birth","Relationship.marital.status","Student.status","Employment.status"
1,"Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,0,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,0,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Close Friend","Disengaging","Pride","Positive","Expression",1,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Close Friend","Engaging","Respect","Positive","Experience",2,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Close Friend","Engaging","Respect","Positive","Expression",2,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",0,-1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,-1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,1,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
1,"Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2,"Male",28,"English","Asian","United States","United States","United States","In a relationship","No","Full-Time"
