"PID","Relationship_Type","Relationship","Orientation","Emotion","Valence","Type","Frequency","Connection","Age","Age_4_TEXT","Gender","Gender_5_TEXT","Relationship_Status","Income","Education","Race","Race_9_TEXT","Ladder_Community_1_x","Ladder_Community_1_y","Ladder_Community"
1,"Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Close Friend","Disengaging","Pride","Positive","Expression",1,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",2,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",2,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",1,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",3,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",2,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",2,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",3,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Stranger","Disengaging","Anger","Negative","Experience",2,-2,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Stranger","Disengaging","Anger","Negative","Expression",2,-2,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Stranger","Disengaging","Pride","Positive","Experience",2,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Stranger","Disengaging","Pride","Positive","Expression",3,0,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Stranger","Engaging","Guilt","Negative","Experience",1,-1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Stranger","Engaging","Guilt","Negative","Expression",1,-1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Stranger","Engaging","Respect","Positive","Experience",2,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
1,"Transactional","Stranger","Engaging","Respect","Positive","Expression",3,1,4,29,1,NA,3,3,4,"7",NA,150,251,"Region #3"
2,"Communal","Close Friend","Disengaging","Anger","Negative","Experience",0,NA,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Close Friend","Disengaging","Anger","Negative","Expression",0,NA,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Close Friend","Disengaging","Pride","Positive","Expression",2,1,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,0,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,0,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Close Friend","Engaging","Respect","Positive","Experience",2,1,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Close Friend","Engaging","Respect","Positive","Expression",2,1,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",0,NA,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",0,NA,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
2,"Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",1,0,4,32,2,NA,9,5,4,"2",NA,132,253,"Region #3"
