"PID","PE","Relationship_Type","Relationship","Orientation","Emotion","Valence","Type","Frequency","Connection"
1,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Experience",1,0
1,"Perception","Communal","Close Friend","Disengaging","Anger","Negative","Expression",1,0
1,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Experience",2,1
1,"Perception","Communal","Close Friend","Disengaging","Pride","Positive","Expression",1,1
1,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Experience",1,0
1,"Perception","Communal","Close Friend","Engaging","Guilt","Negative","Expression",1,0
1,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Experience",3,1
1,"Perception","Communal","Close Friend","Engaging","Respect","Positive","Expression",3,1
1,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Experience",2,1
1,"Perception","Communal","Romantic Partner","Disengaging","Anger","Negative","Expression",1,1
1,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Experience",2,1
1,"Perception","Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",2,1
1,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,1
1,"Perception","Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,1
1,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Experience",4,2
1,"Perception","Communal","Romantic Partner","Engaging","Respect","Positive","Expression",4,2
1,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",2,0
1,"Perception","Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",1,0
1,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,0
1,"Perception","Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",3,0
1,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",2,0
1,"Perception","Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",2,0
1,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,1
1,"Perception","Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",3,1
