"PID","X1_RP_Experience","X1_RP_Expression","X1_RP_Connection","X2_RP_Experience","X2_RP_Expression","X2_RP_Connection","X3_RP_Experience","X3_RP_Expression","X3_RP_Connection","X4_RP_Experience","X4_RP_Expression","X4_RP_Connection","X1_CF_Experience","X1_CF_Expression","X1_CF_Connection","X2_CF_Experience","X2_CF_Expression","X2_CF_Connection","X3_CF_Experience","X3_CF_Expression","X3_CF_Connection","X4_CF_Experience","X4_CF_Expression","X4_CF_Connection","Attn_Check_Never","Attn_Check_Much","X1_CC_Experience","X1_CC_Expression","X1_CC_Connection","X2_CC_Experience","X2_CC_Expression","X2_CC_Connection","X3_CC_Experience","X3_CC_Expression","X3_CC_Connection","X4_CC_Experience","X4_CC_Expression","X4_CC_Connection","X1_St_Experience","X1_St_Expression","X1_St_Connection","X2_St_Experience","X2_St_Expression","X2_St_Connection","X3_St_Experience","X3_St_Expression","X3_St_Connection","X4_St_Experience","X4_St_Expression","X4_St_Connection","Relationship.marital.status","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status"
80,"1","1","1","2","3","2","3","3","2","4","4","4","1","2","1","2","3","1","4","3","1","4","4","4","5","2","2","3","2","3","4","3","4","4","3","4","5",NA,"2","3","2","2","3","3","3","4","3","4","4","3","Married","38","Male","White","United States","United States","United States","English","Yes","Full-Time"
271,"1","2","1","3","4","2","5","5",NA,"5","5",NA,"1","1","1","3","4","3","5","5",NA,"5","5",NA,"5","2","1","2","1","3","3","3","5","5",NA,"5","5",NA,"2","2","2","3","3","2","5","5",NA,"5","5",NA,"Married","33","Male","White","United States","United States","United States","English","No","Full-Time"
204,"1","1","1","2","4","2","5","5",NA,"4","4","4","2","3","2","4","5",NA,"5","5",NA,"5","5",NA,"5","2","3","2","2","3","4","3","5","5",NA,"4","5",NA,"3","2","3","5","5",NA,"5","5",NA,"4","4","5","In a relationship","55","Female","White","United States","United States","United States","English","No","DATA_EXPIRED"
266,"2","5",NA,"3","4","2","4","4","4","3","3","5","2","4","3","5","5",NA,"4","4","2","5","5",NA,"5","2","2","3","3","3","4","2","4","4","4","4","5",NA,"2","4","3","3","5",NA,"4","5",NA,"4","4","4","In a relationship","39","Female","White","United States","United States","United States","English","No","Full-Time"
208,"1","1","1","2","2","1","3","3","1","4","4","2","2","2","1","2","3","2","5","5",NA,"3","3","4","5","2","2","2","3","2","2","2","5","5",NA,"4","4","4","2","3","2","2","2","4","4","4","4","3","4","5","In a relationship","33","Female","Black","United States","United States","United States","English","Yes","Full-Time"
301,"3","3","2","3","4","3","4","4","3","3","3","3","2","2","1","3","4","3","3","4","3","4","4","3","5","2","4","5",NA,"4","5",NA,"5","5",NA,"3","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"3","5",NA,"In a relationship","33","Male","Mixed","United States","United States","United States","English","No","Full-Time"
202,"3","3","2","3","3","3","5","5",NA,"3","3","4","3","4","1","4","4","2","4","4","4","4","4","5","5","2","3","3","2","3","4","2","5","5",NA,"4","4","4","3","3","2","4","5",NA,"4","5",NA,"4","4","4","In a civil partnership/civil union or similar","37","Male","White","United States","United States","United States","English","No","Full-Time"
44,"3","4","2","3","3","2","4","5",NA,"3","3","5","2","3","2","3","3","2","5","5",NA,"4","4","4","5","2","3","3","4","3","5",NA,"5","5",NA,"5","5",NA,"3","4","3","3","2","4","5","5",NA,"4","5",NA,"In a relationship","38","Male","White","United States","United States","United States","English","No","Full-Time"
310,"2","2","2","3","3","2","3","4","4","4","3","4","1","1","2","3","3","4","3","3","2","3","4","4","5","2","1","2","2","3","4","4","3","3","2","4","5",NA,"3","3","2","3","3","4","3","4","4","4","3","4","Married","42","Female","White","United States","United States","United States","English","No","Full-Time"
213,"1","2","1","3","4","3","4","4","3","4","4","3","2","3","3","3","3","3","5","5",NA,"4","4","3","5","2","3","3","3","4","4","3","5","5",NA,"4","4","3","3","3","3","2","3","3","5","5",NA,"4","4","3","Married","31","Male","White","United States","United States","United States","English","No","Full-Time"
272,"1","1","1","1","1","1","5","5",NA,"4","4","1","1","1","1","5","5",NA,"5","5",NA,"5","5",NA,"5","2","1","1","1","1","1","1","5","5",NA,"5","5",NA,"1","1","1","1","1","1","5","5",NA,"5","5",NA,"Married","58","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
137,"1","2","2","2","2","2","5","5",NA,"4","4","4","2","2","2","3","3","2","5","5",NA,"5","5",NA,"5","2","2","2","2","2","3","2","5","5",NA,"4","5",NA,"3","2","3","3","4","3","5","5",NA,"4","5",NA,"Married","44","Male","White","Nigeria","United States","United States","English","No","Full-Time"
141,"1","2","3","1","1","2","3","2","2","2","3","2","2","1","2","2","1","3","5","5",NA,"1","2","2","2","2","1","2","2","2","1","2","4","4","2","1","2","2","2","2","2","2","3","2","4","5",NA,"4","5",NA,"Married","38","Female","Black","United States","United States","United States","English","No","Full-Time"
242,"3","3","2","3","3","2","5","5",NA,"2","2","5","3","2","2","4","4","3","5","5",NA,"4","4","4","5","2","4","4","3","5","5",NA,"5","5",NA,"5","5",NA,"3","3","3","3","4","3","5","5",NA,"4","4","5","Engaged","38","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
150,"1","1","1","3","3","2","5","5",NA,"5","5",NA,"2","2","2","4","4","4","5","5",NA,"5","5",NA,"5","2","2","2","3","5","5",NA,"5","5",NA,"5","5",NA,"2","3","2","5","5",NA,"5","5",NA,"5","5",NA,"In a relationship","24","Male","White","United States","United States","United States","English","No","Full-Time"
399,"1","2","2","2","2","1","5","5",NA,"4","4","4","1","2","1","2","2","2","5","5",NA,"5","5",NA,"5","2","3","3","2","3","3","2","5","5",NA,"4","4","4","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"Married","46","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
