"PID","X1_RP_Expression","X1_RP_Experience","X1_RP_Connection","X2_RP_Expression","X2_RP_Experience","X2_RP_Connection","X3_RP_Expression","X3_RP_Experience","X3_RP_Connection","X4_RP_Expression","X4_RP_Experience","X4_RP_Connection","X1_CF_Expression","X1_CF_Experience","X1_CF_Connection","X2_CF_Expression","X2_CF_Experience","X2_CF_Connection","X3_CF_Expression","X3_CF_Experience","X3_CF_Connection","X4_CF_Expression","X4_CF_Experience","X4_CF_Connection","X1_CC_Expression","X1_CC_Experience","X1_CC_Connection","X2_CC_Expression","X2_CC_Experience","X2_CC_Connection","X3_CC_Expression","X3_CC_Experience","X3_CC_Connection","X4_CC_Expression","X4_CC_Experience","X4_CC_Connection","X1_ST_Expression","X1_ST_Experience","X1_ST_Connection","X2_ST_Expression","X2_ST_Experience","X2_ST_Connection","X3_ST_Expression","X3_ST_Experience","X3_ST_Connection","X4_ST_Expression","X4_ST_Experience","X4_ST_Connection","Attn_Check_Never","Attn_Check_Much","Age","Age_4_TEXT","Gender","Gender_5_TEXT","Relationship_Status","Income","Education","Race","Race_9_TEXT","Ladder_Community_1_x","Ladder_Community_1_y","Ladder_Community"
149,"1","1","1","3","3","1","2","2","4","4","4","5","2","2","1","3","3","2","3","3","4","4","4","5","3","3","1","2","2","3","3","3","3","3","3","5","3","3","2","2","2","3","4","4","3","3","3","5","5","2","4","39","2",NA,"4","6","6","7",NA,"191","217","Region #4"
292,"1","1","1","3","3","2","1","3","3","3","3","4","2","2","2","3","3","2","4","4","2","5","4",NA,"1","1","2","3","3","2","4","4","2","4","4","5","3","3","3","3","3","3","4","4","3","3","3","3","5","2","4","66","1",NA,"4","6","6","7",NA,"254","90","Region #8"
53,"2","2","2","3","3","2","3","3","4","4","3","4","3","3","2","4","3","2","4","3","3","4","4","4","2","2","2","3","3","2","4","3","3","4","5","5","3","4","2","3","2","3","4","3","3","4","3","4","5","2","4","18","2",NA,"2","7","2","7",NA,"227","86","Region #8"
252,"3","2","1","4","4","2","3","4","4","3","3","5","1","3","2","3","3","2","3","4","2","5","5",NA,"3","3","2","3","3","2","4","3","3","4","4","3","2","2","2","4","3","3","5","5",NA,"5","5",NA,"5","2","4","36","2",NA,"4","7","4","7",NA,"205","164","Region #6"
171,"1","1","1","4","4","1","5","3",NA,"3","3","3","1","1","1","3","2","2","3","3","2","5","5",NA,"3","3","2","3","3","2","5","5",NA,"3","2","5","3","3","2","3","3","3","5","5",NA,"5","5",NA,"5","2","4","49","2",NA,"4","4","4","7",NA,"123","215","Other"
198,"1","2","2","3","2","2","4","4","3","3","3","3","2","2","2","2","2","3","4","4","3","5","4",NA,"3","3","3","4","4","3","5","5",NA,"5","5",NA,"3","3","3","4","4","3","5","5",NA,"5","5",NA,"5","2","4","33","2",NA,"4","7","2","1,7",NA,"148","186","Other"
21,"1","1","1","3","4","2","3","4","3","4","4","4","2","2","1","2","3","2","3","3","2","4","4","4","2","3","1","3","3","2","4","3","3","4","4","5","3","3","2","3","3","2","4","4","3","3","4","5","5","2","4","37","2",NA,"4","6","8","7",NA,"212","109","Other"
2,"3","3","3","4","4","3","2","2","2","5","5",NA,"3","3","2","3","3","2","4","4","3","5","5",NA,"3","3","2","3","3","3","2","2","2","4","4","4","3","3","2","3","3","3","5","5",NA,"4","4","5","5","2","4","32","2",NA,"9","5","4","2",NA,"132","253","Region #3"
3,"1","1","1","2","2","1","4","5","3","5","5",NA,"2","3","2","2","2","2","4","4","3","5","5",NA,"3","3","3","3","3","3","5","5",NA,"5","5",NA,"4","4","2","3","3","2","5","5",NA,"5","5",NA,"5","2","4","60","2",NA,"4","7","5","7",NA,"258","99","Region #8"
332,"1","1","1","2","2","1","5","5",NA,"4","4","3","1","1","1","3","3","3","4","4","3","5","5",NA,"4","4","3","3","3","3","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","2","4","24","2",NA,"2","5","4","7",NA,"152","222","Region #4"
87,"1","1","1","4","4","2","3","3","2","4","4","4","2","2","2","3","3","2","4","4","3","4","4","3","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"4","4","3","5","5",NA,"4","4","3","5","5",NA,"5","2","4","31","2",NA,"2","1","4","7",NA,"154","222","Region #4"
304,"1","1","1","1","1","1","4","4","2","4","4","2","1","1","1","3","2","1","5","5",NA,"4","4","2","2","1","2","3","3","2","4","4","3","4","4","3","3","3","2","3","4","2","4","4","4","4","4","4","5","2","4","50","2",NA,"4","7","5","7",NA,NA,NA,NA
368,"2","2","1","2","3","2","4","4","2","3","3","4","2","2","2","3","3","2","5","5",NA,"4","4","3","2","3","2","4","3","2","4","4","3","5","5",NA,"3","3","3","4","4","3","4","5","3","4","4","3","5","2","4","23","1",NA,"2","5","6","7",NA,"225","149","Region #6"
275,"2","3","2","3","3","2","3","3","3","4","4","3","3","3","2","3","3","2","4","4","3","4","4","4","4","3","2","3","3","2","5","5",NA,"4","4","4","3","4","3","4","3","3","4","4","3","3","4","5","5","2","4","27","2",NA,"3","7","8","7",NA,"159","162","Other"
337,"1","1","1","2","2","2","4","4","4","3","3","2","1","1","1","2","2","2","4","4","4","4","4","4","2","2","2","3","2","3","4","3","3","5","5",NA,"3","3","2","4","5","5","4","4","5","4","4","4","5","2","4","28","1",NA,"2","6","7","7",NA,"269","94","Region #8"
33,"3","3","1","4","4","2","5","5",NA,"5","5",NA,"3","3","1","4","4","2","5","5",NA,"5","5",NA,"3","3","2","4","4","3","5","5",NA,"5","5",NA,"5","5",NA,"4","4","3","5","5",NA,"5","5",NA,"5","2","4","42","2",NA,"2","7","8","2",NA,"226","77","Other"
180,"3","3","2","3","3","2","4","3","2","4","4","2","1","1","1","2","2","1","4","4","1","4","4","1","3","3","2","2","2","2","4","4","2","4","4","2","3","3","2","3","3","2","4","4","4","4","4","3","5","2","4","41","2",NA,"4","7","6","2,7",NA,"146","212","Region #4"
127,"1","1","1","5","4",NA,"5","5",NA,"5","5",NA,"4","4","2","4","5","5","5","5",NA,"5","5",NA,"2","2","2","5","4",NA,"4","5","5","4","5","5","2","2","1","3","3","4","5","5",NA,"5","5",NA,"5","2","4","38","2",NA,"4","7","8","3",NA,NA,NA,NA
